No.,Sound,File,Start (s),End (s),Duration (s)
1,s,01_s.mp3,4.574,8.531,3.957
2,a,02_a.mp3,10.148,14.126,3.978
3,t,03_t.mp3,15.79,21.965,6.175
4,i,04_i.mp3,23.406,27.791,4.385
5,p,05_p.mp3,29.163,33.215,4.052
6,n,06_n.mp3,34.019,37.702,3.683
7,ck,07_ck.mp3,39.379,43.434,4.055
8,e,08_e.mp3,45.223,49.44,4.217
9,h,09_h.mp3,51.196,56.448,5.252
10,r,10_r.mp3,57.843,62.436,4.593
11,m,11_m.mp3,63.692,68.347,4.655
12,d,12_d.mp3,70.016,73.828,3.812
13,g,13_g.mp3,75.635,80.375,4.74
14,o,14_o.mp3,82.191,86.813,4.622
15,u,15_u.mp3,88.553,93.607,5.054
16,l,16_l.mp3,95.136,99.902,4.766
17,f,17_f.mp3,102.326,107.855,5.529
18,b,18_b.mp3,109.65,114.126,4.476
19,ai,19_ai.mp3,115.71,121.105,5.395
20,j,20_j.mp3,122.855,128.293,5.438
21,oa,21_oa.mp3,129.966,135.413,5.447
22,ie,22_ie.mp3,137.058,142.693,5.635
23,ee,23_ee.mp3,144.281,149.38,5.099
24,or,24_or.mp3,151.029,155.608,4.579
25,z,25_z.mp3,157.102,162.583,5.481
26,w,26_w.mp3,164.623,170.526,5.903
27,ng,27_ng.mp3,172.102,177.654,5.552
28,v,28_v.mp3,179.2,184.269,5.069
29,oo_long,29_oo_long.mp3,186.144,191.51,5.366
30,oo_short,30_oo_short.mp3,192.889,197.142,4.253
31,y,31_y.mp3,198.714,203.508,4.794
32,x,32_x.mp3,205.075,210.096,5.021
33,ch,33_ch.mp3,211.902,217.208,5.306
34,sh,34_sh.mp3,218.925,224.232,5.307
35,th_unvoiced,35_th_unvoiced.mp3,225.951,230.816,4.865
36,th_voiced,36_th_voiced.mp3,232.741,237.034,4.293
37,qu,37_qu.mp3,238.787,243.847,5.06
38,ou,38_ou.mp3,245.525,250.719,5.194
39,oi,39_oi.mp3,252.336,257.778,5.442
40,ue,40_ue.mp3,259.089,264.294,5.205
41,er,41_er.mp3,265.789,271.061,5.272
42,ar,42_ar.mp3,272.644,275.231,2.587
